occupation_id,category,specialty,nhs_band
312,Medical & Dental,Pathology,Consultant
313,Medical & Dental,Oncology,Specialty Doctor
314,Medical & Dental,Haringey,Specialty Registrar
315,Medical & Dental,Colorectal Surgery,Consultant
316,Medical & Dental,Oncology,Doctor - Other
317,Medical & Dental,Rheumatology,Consultant
318,Medical & Dental,Old Age Psychiatry - Liaison,
319,Medical & Dental,Urgent and Emergency Care,Consultant
320,Medical & Dental,Paediatric Neurodisability,Consultant
321,Medical & Dental,Elective orthopaedics,Consultant
322,Medical & Dental,Peripheral Nerve Injury Unit (PNI),
323,Medical & Dental,General Surgery,Consultant
324,Medical & Dental,Consultant in General Adult Psychiatry,Consultant
325,Medical & Dental,NICU,
326,Medical & Dental,Ortho-Geriatrics,Consultant
327,Medical & Dental,Acute Care Medicine,Doctor - Other
328,Medical & Dental,Ophthalmology,Doctor - Other
329,Medical & Dental,Neuroanaesthesia,Consultant
330,Medical & Dental,ENT,Consultant
331,Medical & Dental,Neurosurgery and Neurocritical,Doctor - Other
332,Medical & Dental,Care of the Elderly,
333,Medical & Dental,Diabetes and Endocrinology,Doctor - Other
334,Medical & Dental,Care of the Elderly,Consultant
335,Medical & Dental,Occupational Medicine,Consultant
336,Medical & Dental,MFoP Stroke,Doctor - Other
337,Medical & Dental,Acute Medicine & Simulation,Specialty Registrar
338,Medical & Dental,Anaesthetia,Consultant
339,Medical & Dental,Psychiatry General Adult Community,Consultant
340,Medical & Dental,IMS,Specialty Registrar
341,Medical & Dental,Clinical Haematology,
342,Medical & Dental,Anaesthesia,Specialty Registrar
343,Medical & Dental,Unscheduled Care,Consultant
344,Medical & Dental,Women's & Children's CBU,Specialty Registrar
345,Medical & Dental,Gynaecology,Consultant
346,Medical & Dental,Intensive Care Medicine,Doctor - Other
347,Medical & Dental,EMERGENCY MEDICINE,Consultant
348,Medical & Dental,Trauma and Orthopedics,
349,Medical & Dental,Interventional Radiology,Doctor - Other
350,Medical & Dental,Special interest in Otology and Paediatric ENT,Consultant
351,Medical & Dental,Dermatology,Specialty Registrar
352,Medical & Dental,Ears Nose and Throat,Consultant
353,Medical & Dental,Specialty Doctor in Community Paediatrics,
354,Medical & Dental,Rheumatology,Specialty Doctor
