salary_id,minimum_salary,maximum_salary,salary_type,pay_band
1286,79860.0,79860.0,YEAR,
1287,151290.0,151290.0,YEAR,
1288,33221.0,50086.0,YEAR,Specialty Registrar
1289,37935.0,48075.0,YEAR,
1290,79860.0,107688.0,YEAR,Consultant
1291,38156.0,50068.0,YEAR,Specialty Registrar
1292,19890.0,19890.0,YEAR,6
1293,37500.0,37500.0,YEAR,Specialty Registrar
1294,20500.0,21400.0,YEAR,5
1295,37500.0,37500.0,YEAR,7
1296,125000.0,125000.0,YEAR,8d
1297,31746.0,41489.0,YEAR,Doctor - Other
1298,33790.0,36511.0,YEAR,
1299,31841.0,50068.0,YEAR,Specialty Doctor
1300,40037.0,76661.0,YEAR,Specialty Doctor
1301,81810.0,81810.0,YEAR,
1302,55515.0,62485.0,YEAR,
1303,33790.0,42126.0,YEAR,
1304,26000.0,34000.0,YEAR,
1305,132799.0,132799.0,YEAR,Consultant
1306,78899.0,82717.0,YEAR,
1307,42126.0,50068.0,YEAR,
1308,153.0,164.0,YEAR,
1309,32029.0,36876.0,YEAR,
1310,56133.0,92401.0,YEAR,
1311,128750.0,138020.0,YEAR,
1312,6724.0,6724.0,YEAR,6
1313,60516.0,60516.0,YEAR,Specialty Registrar
1314,79860.0,107668.0,YEAR,Specialty Registrar
1315,28357.0,32066.0,YEAR,
1316,18900.0,18900.0,YEAR,5
1317,75000.0,75000.0,YEAR,Specialty Doctor
1318,82022.0,109830.0,YEAR,Consultant
1319,37935.0,37935.0,YEAR,
1320,24024.0,27022.0,YEAR,Foundation Doctor
1321,53733.0,74661.0,YEAR,Specialty Doctor
1322,79860.0,107669.0,YEAR,
1323,17196.0,17196.0,YEAR,
1324,120000.0,140000.0,YEAR,
1325,,,,2
1326,31841.0,50086.0,YEAR,
1327,32050.0,32050.0,YEAR,Foundation Doctor
1328,40037.0,746610.0,YEAR,Specialty Doctor
1329,7986.0,107668.0,YEAR,Consultant
1330,79860.0,79860.0,YEAR,Consultant
1331,31814.0,42126.0,YEAR,Specialty Registrar
1332,14237.0,14237.0,YEAR,
1333,19266.0,19266.0,YEAR,Consultant
1334,29798.0,33695.0,YEAR,Foundation Doctor
1335,27689.0,32050.0,YEAR,Foundation Doctor
1336,16794.0,16794.0,YEAR,Consultant
1337,31841.0,35795.0,YEAR,
1338,32050.0,32050.0,YEAR,
1339,149.0,48075.0,YEAR,Specialty Registrar
1340,31841.0,33790.0,YEAR,Foundation Doctor
1341,79850.0,107668.0,YEAR,Consultant
1342,36000.0,39000.0,YEAR,7
1343,50430.0,109265.0,YEAR,Doctor - Other
1344,82620.0,91267.0,YEAR,
1345,48075.0,49382.0,YEAR,Doctor - Other
1346,36511.0,40141.0,YEAR,
1347,48075.0,48075.0,YEAR,Specialty Doctor
1348,29798.0,42126.0,YEAR,
1349,7791.0,7791.0,YEAR,Consultant
1350,32050.0,37935.0,YEAR,
1351,31841.0,74661.0,YEAR,
1352,79860.0,107568.0,YEAR,Consultant
1353,50819.0,50819.0,YEAR,
1354,42199.0,76823.0,YEAR,Specialty Doctor
1355,79860.0,107688.0,YEAR,
1356,40037.0,74661.0,YEAR,Doctor - Other
1357,130000.0,130000.0,YEAR,
1358,31814.0,50068.0,YEAR,Doctor - Other
